county,opioid_visit_count,year
Atlantic,71,2008
Bergen,83,2008
Burlington,62,2008
Camden,108,2008
Cape May,10,2008
Cumberland,19,2008
Essex,125,2008
Gloucester,57,2008
Hudson,73,2008
Hunterdon,11,2008
Mercer,56,2008
Middlesex,96,2008
Monmouth,102,2008
Morris,40,2008
Ocean,116,2008
Passaic,48,2008
Salem,14,2008
Somerset,29,2008
Sussex,26,2008
Union,57,2008
Warren,17,2008
Atlantic,72,2009
Bergen,113,2009
Burlington,71,2009
Camden,142,2009
Cape May,15,2009
Cumberland,29,2009
Essex,133,2009
Gloucester,49,2009
Hudson,83,2009
Hunterdon,4,2009
Mercer,54,2009
Middlesex,106,2009
Monmouth,119,2009
Morris,40,2009
Ocean,115,2009
Passaic,61,2009
Salem,17,2009
Somerset,38,2009
Sussex,25,2009
Union,62,2009
Warren,13,2009
Atlantic,63,2010
Bergen,99,2010
Burlington,82,2010
Camden,146,2010
Cape May,9,2010
Cumberland,21,2010
Essex,148,2010
Gloucester,75,2010
Hudson,87,2010
Hunterdon,8,2010
Mercer,61,2010
Middlesex,89,2010
Monmouth,145,2010
Morris,56,2010
Ocean,141,2010
Passaic,69,2010
Salem,16,2010
Somerset,37,2010
Sussex,25,2010
Union,43,2010
Warren,13,2010
Atlantic,59,2011
Bergen,109,2011
Burlington,108,2011
Camden,180,2011
Cape May,19,2011
Cumberland,26,2011
Essex,156,2011
Gloucester,72,2011
Hudson,92,2011
Hunterdon,15,2011
Mercer,87,2011
Middlesex,135,2011
Monmouth,140,2011
Morris,64,2011
Ocean,180,2011
Passaic,56,2011
Salem,22,2011
Somerset,32,2011
Sussex,40,2011
Union,74,2011
Warren,22,2011
Atlantic,71,2012
Bergen,122,2012
Burlington,119,2012
Camden,173,2012
Cape May,14,2012
Cumberland,37,2012
Essex,155,2012
Gloucester,83,2012
Hudson,91,2012
Hunterdon,11,2012
Mercer,65,2012
Middlesex,146,2012
Monmouth,143,2012
Morris,49,2012
Ocean,174,2012
Passaic,64,2012
Salem,25,2012
Somerset,41,2012
Sussex,27,2012
Union,61,2012
Warren,23,2012
Atlantic,75,2013
Bergen,125,2013
Burlington,118,2013
Camden,158,2013
Cape May,16,2013
Cumberland,39,2013
Essex,127,2013
Gloucester,74,2013
Hudson,87,2013
Hunterdon,15,2013
Mercer,68,2013
Middlesex,139,2013
Monmouth,159,2013
Morris,52,2013
Ocean,124,2013
Passaic,56,2013
Salem,20,2013
Somerset,46,2013
Sussex,30,2013
Union,55,2013
Warren,15,2013
Atlantic,78,2014
Bergen,111,2014
Burlington,110,2014
Camden,182,2014
Cape May,11,2014
Cumberland,31,2014
Essex,147,2014
Gloucester,83,2014
Hudson,93,2014
Hunterdon,15,2014
Mercer,66,2014
Middlesex,129,2014
Monmouth,146,2014
Morris,46,2014
Ocean,166,2014
Passaic,61,2014
Salem,22,2014
Somerset,42,2014
Sussex,26,2014
Union,55,2014
Warren,14,2014
Atlantic,117,2015
Bergen,126,2015
Burlington,115,2015
Camden,235,2015
Cape May,25,2015
Cumberland,46,2015
Essex,138,2015
Gloucester,93,2015
Hudson,86,2015
Hunterdon,11,2015
Mercer,86,2015
Middlesex,140,2015
Monmouth,128,2015
Morris,71,2015
Ocean,174,2015
Passaic,84,2015
Salem,18,2015
Somerset,43,2015
Sussex,43,2015
Union,81,2015
Warren,22,2015
